Sample,ELMO2,CREB3L1,RPS11,PNMA1,MMP2,C10orf90,ZHX3,ERCC5,GPR98,RXFP3,APBB2,KLHL13,KLK10,PDCL3,DECR1,SALL1,CADM4,RPS18,HNRPD,CFHR5,SLC10A7,OR2K2,LMAN1,SUHW1,CHD8,SUMO1,GP1BA,DDB1,MYO9B,MMP7,CRNKL1,C9orf45,XAB2,RTN1,KLHL14,TBX10,CENPQ,UTY,ZBTB12,DTNBP1,KBTBD8,ZEB1,ZG16,MIER1,ADAM5P,CHD9,STK16,KIAA1486,TOB2
TCGA-BH-A0BR-01,0.399916667,1.27325,-0.297875,-0.52425,1.395166667,-1.55125,-0.2735,-0.3845,1.0355,-0.0105,0.75725,-2.33675,-0.138,0.573166667,-0.719375,-2.436166667,0.473166667,0.042642857,-1.0245,0.7305,0.212,-0.1835,0.583125,-2.8875,0.0443,0.4354,0.3371,0.231,-0.041,6.73125,-0.1,-1.322,-0.239625,1.07875,-1.22425,1.219,-1.8115,-0.964071429,-0.1395,-0.227,-0.618666667,1.200833333,-0.905,0.6924,0.2875,0.3385,1.018,0.255,0.868583333
TCGA-BH-A0BW-01,0.854833333,-0.11825,-0.299125,-0.706,-0.0185,-0.94225,-0.661666667,-0.43525,0.004857143,0.525,0.9235,-0.70575,-0.601,0.8545,0.18475,-3.937,-0.124333333,-0.711428571,0.60425,0.5524,0.907625,-0.3955,0.213375,-1.52075,-0.7273,0.9708,1.0662,-0.1645,-0.2616,5.40675,0.1205,-1.273833333,0.08225,1.2485,-1.599625,-0.5825,-1.04875,-2.5505,-0.844,0.29925,-0.392166667,-2.393,-0.93725,-0.3008,0.443,0.3226875,1.05925,-1.0455,0.632833333
TCGA-BH-A0C3-01,0.377833333,0.852,0.41825,0.20175,1.49,-1.82425,0.167666667,0.41925,0.166,0.088,2.705,-1.05975,-0.730333333,0.908833333,0.492875,-3.253333333,0.708666667,-0.475428571,-0.376166667,0.5984,0.340375,0.663,0.428375,-3.3585,-0.3998,-0.0258,1.7545,-1.007,-0.0324,4.53725,0.451,-2.726166667,0.391375,2.159875,-0.8395,-1.594,-1.7695,-1.365357143,-0.141,-0.000875,-1.020166667,1.525333333,3.5935,0.4618,5.115,-0.479625,0.44725,-0.5275,0.007166667
TCGA-BH-A0HB-01,0.21325,0.265,0.046875,0.43325,-0.266666667,-2.398,0.145333333,-0.34775,0.646125,0.7865,1.44725,-2.36525,-0.828833333,0.866,0.245125,-4.095,-0.211333333,-0.356,-0.304083333,0.816666667,0.372,0.32,-0.450125,-2.8535,0.2748,1.1681,1.5657,0.706333333,-0.4119,7.151,1.609,-1.693333333,0.242,1.679375,-1.432142857,-0.8675,-1.763,-0.728,0.067,0.04575,-0.8935,-0.14,-0.0695,0.6356,0.329,0.0224375,-0.2625,-0.8435,0.893333333
TCGA-BH-A0HI-01,0.211583333,0.511,0.90125,0.73225,0.494,-2.38525,0.103,0.16225,0.0065,0.309,0.91725,-1.05375,0.183833333,0.252833333,0.495875,-3.494166667,0.912666667,0.557,-0.6855,-0.013166667,0.0515,-0.186,-0.34875,-3.5425,-0.1726,1.0204,1.5628,-0.296166667,-0.6656,6.5265,1.1345,-0.327,0.103375,2.071,-0.707125,-1.1355,-1.3465,-1.405428571,0.4685,0.135375,-1.1645,-0.696833333,-1.18575,0.1009,-0.1595,-0.828375,0.164,-0.526,0.587416667
TCGA-E2-A15C,0.211583333,0.511,0.90125,0.73225,0.494,-2.38525,0.103,0.16225,0.0065,0.309,0.91725,-1.05375,0.183833333,0.252833333,0.495875,-3.494166667,0.912666667,0.557,-0.6855,-0.013166667,0.0515,-0.186,-0.34875,-3.5425,-0.1726,1.0204,1.5628,-0.296166667,-0.6656,6.5265,1.1345,-0.327,0.103375,2.071,-0.707125,-1.1355,-1.3465,-1.405428571,0.4685,0.135375,-1.1645,-0.696833333,-1.18575,0.1009,-0.1595,-0.828375,0.164,-0.526,0.587416667
TCGA-E2-A15F,0.2285,0.0855,1.413,0.11075,-0.783333333,-2.338,-0.898,-0.022,-1.622,-0.073,1.606,-1.92375,-0.834166667,0.859666667,0.1075,1.289,0.596333333,-0.62,-0.319166667,1.0,0.674875,0.36,-0.48675,-3.64525,-0.5442,1.5585,1.5781,-0.210833333,-0.7957,6.56225,0.9585,-1.416833333,0.451125,1.392875,-0.477375,-1.5475,-1.13125,-1.772142857,0.697,0.114125,-0.4365,-2.465333333,-0.799,-0.0345,-0.7915,-1.015375,0.30975,-0.116,-0.17375
TCGA-E2-A15O,0.909833333,0.724,0.176375,1.41425,-0.323166667,-1.71525,-0.511,-0.26125,-1.8425,0.101,1.12175,-0.81425,-0.044333333,0.7665,1.001375,-4.167166667,0.667166667,-0.529142857,0.40275,0.799833333,0.44525,-0.4945,-1.017125,-3.89575,0.5128,0.3946,0.9083,-0.416833333,-0.0828,4.88725,1.48725,-0.92,0.612625,0.447875,-1.40675,-1.709,-1.8305,-1.698384615,-0.0455,-0.278125,-2.430166667,0.440333333,3.173,0.6327,-1.2975,1.470125,0.35625,-0.564,0.197833333
TCGA-E2-A15P,0.672833333,1.13775,0.06375,-0.08375,0.243666667,-2.0575,-0.272666667,-0.02725,-0.27225,-0.1995,1.95025,-0.516,0.350833333,0.6725,-0.062625,-3.868,1.022166667,-0.470214286,0.100916667,0.921833333,1.255125,0.572,0.422,-3.943,-0.0654,0.8499,0.2978,-0.112333333,-0.4791,5.4575,0.579,-0.5735,-0.736875,0.751375,-0.937375,-1.643,-0.81175,-1.568692308,-0.2485,0.348125,-1.828666667,1.583833333,-1.87225,0.8113,0.471,0.3118125,-0.2155,-0.7235,0.194666667
TCGA-E2-A1BC,0.098833333,1.63025,0.64975,-0.44975,1.637166667,-2.23875,-0.101833333,0.4055,1.533,-0.5785,2.27475,-2.736,-0.609,0.455166667,0.602125,-2.606166667,1.159166667,-0.006642857,-0.76975,1.076666667,0.558,-2.034,-0.51125,-4.0335,-0.1531,0.608,0.075,0.299666667,-0.0253,5.38475,0.55425,-1.643666667,0.646125,2.015125,-1.358,-1.961,-2.30475,-1.263,-0.384,-0.19,-1.485333333,1.5875,-1.37625,0.8711,0.5125,-0.1874375,0.88875,-0.5505,1.17675
